,title,salary_standardized,location,habilidades
1284,Data Analyst,68114.28,"Denver, CO","('sql', 'excel', 'tableau')"
1301,Environmental and Water Resources Data Analyst,92500.0,"Glenwood Springs, CO","('python', 'sql', 'r', 'machine_learning')"
1324,Environmental and Water Resources Data Analyst,92500.0,"Meeker, CO","('python', 'sql', 'r', 'machine_learning')"
1327,Lead Cybersecurity Analyst,172000.0,United States,"('python', 'sql', 'machine_learning')"
1359,Business Intelligence Analyst - Full Time,97407.0,United States,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
1375,Inv Analyst,64366.5,"Westminster, CO","('sql', 'powerbi', 'excel')"
1380,Analyst/Statistician,79500.0,Anywhere,"('python', 'sql', 'powerbi', 'tableau', 'r')"
1381,AI Data Analyst,82500.0,Anywhere,"('python', 'sql', 'powerbi', 'tableau', 'machine_learning')"
1442,Blockchain Data Analyst - Year-End Stablecoin Wallet Balance Calculation,62400.0,Anywhere,"('python', 'sql')"
1443,"""Unlock Data-Driven Success: Join CuraCall as Our Homecare Data Analyst Expert!"" - Contract to Hire",20800.0,Anywhere,"('python', 'sql', 'powerbi', 'tableau')"
1464,Data Engineer,140400.0,Cherry Creek,"('python', 'sql', 'aws')"
1469,CREDENTIALING ANALYST - MEDICAL STAFF OFFICE,73611.2,"Cheyenne, WY","('excel',)"
1511,Data Analyst Technical Senior - Full-time,47205.6,"Denver, CO","('python', 'sql', 'tableau')"
1561,"Sr Analyst, Healthcare Claims Analytics (SQL, Power BI) - Full-time",89294.4,"Rio Rancho, NM","('sql', 'excel')"
1566,Sr Data Analyst - Procurement,47205.6,"Santa Fe, NM","('tableau',)"
1620,AHD Strategic Data Analyst,77300.0,Anywhere,"('sql', 'excel', 'tableau')"
1689,"Data Analyst - R, Python, Predictive Analytics, Economist - Contract to Hire",83200.0,Anywhere,"('excel',)"
1705,IT Sr Data Analyst,115000.0,"Boulder, CO","('sql', 'powerbi', 'azure', 'machine_learning')"
1719,Decision Scientist - Full-time,25740.0,"Cheyenne, WY","('sql', 'excel')"
1741,Data Analyst,31200.0,"Columbine, CO","('sql', 'excel')"
1742,Data Analyst,31200.0,"Commerce City, CO","('sql', 'excel')"
1743,Data Analyst,31200.0,"Dakota Ridge, CO","('sql', 'excel')"
1765,Junior Data Analyst,70000.0,"Denver, CO","('sql', 'excel', 'tableau')"
1792,Data Engineer,144341.60000000003,"Englewood, CO","('python', 'sql', 'machine_learning', 'aws')"
1793,Data Analyst,31200.0,"Evans, CO","('sql', 'excel')"
1803,Data Analyst,31200.0,"Greeley, CO","('sql', 'excel')"
1810,Data Analyst,31200.0,"Highlands Ranch, CO","('sql', 'excel')"
1820,Data Analyst,31200.0,"Louisville, CO","('sql', 'excel')"
1821,Tax Data Analyst - Full-time,47205.6,"Rio Rancho, NM","('sql', 'excel')"
1823,Analyst - Analytic Consulting Services,29733.6,"Santa Fe, NM","('sql', 'excel')"
1824,Data Analyst,31200.0,"Security-Widefield, CO","('sql', 'excel')"
1869,Data Analyst,225000.0,United States,"('python', 'sql', 'powerbi', 'excel', 'tableau', 'machine_learning')"
1875,"Fund Data Analytics & Operations Specialist- $200,000-250,000 + bonus!",225000.0,United States,"('python', 'sql', 'excel')"
1878,Principal Data Scientist- Healthcare Systems,187262.4,United States,"('python', 'sql', 'azure', 'r', 'machine_learning', 'aws')"
2153,Data Analyst,31200.0,"Castle Rock, CO","('sql', 'excel')"
2154,Data Analyst,31200.0,"Ken Caryl, CO","('sql', 'excel')"
2157,Data Analyst,31200.0,"Brighton, CO","('sql', 'excel')"
2158,Data Analyst,31200.0,"Wheat Ridge, CO","('sql', 'excel')"
2159,Data Analyst,31200.0,"Loveland, CO","('sql', 'excel')"
2164,"Senior Data Analyst, Trust and Safety, Search",163000.0,United States,"('python', 'sql', 'machine_learning')"
2167,Analyst - Analytic Consulting Services,72984.8,"Cheyenne, WY","('sql', 'excel')"
2174,Data Analyst - Federal Government,75000.0,Anywhere,"('python', 'powerbi', 'tableau', 'r', 'machine_learning')"
2229,Business Analyst- Enterprise Data & Research,77500.0, Anywhere ,"('sql', 'powerbi', 'excel', 'azure')"
2245,IT Data Architect (Local to Minneapolis),140400.0,  United States   ,"('python', 'sql')"
2251,Data Engineer,122500.0, Anywhere ,"('python', 'sql', 'aws')"
2254,PowerBI Analyst,77500.0, Anywhere ,"('sql', 'powerbi', 'excel', 'azure')"
2264,"Data Management, Analytics, and Visualization Expert Wanted ...",119600.0, Anywhere ,"('powerbi', 'excel', 'tableau')"
2398,Data Analyst,79500.0,"  Wichita, KS   ","('python', 'sql', 'tableau')"
2409,Business Intelligence Developer/Senior Data Analyst,96500.0, Anywhere ,"('sql', 'powerbi', 'tableau', 'azure', 'aws')"
2436,Data Analyst,31200.0, Anywhere ,"('excel',)"
2437,Business Systems Analyst II - Data Warehouse,90205.0,"  Jefferson City, MO   ","('sql', 'powerbi', 'tableau')"
2439,Data Analyst—(healthcare/Azure and Power BI),130000.0, Anywhere ,"('python', 'sql', 'powerbi', 'azure')"
2446,IT Operations Data Analyst,70000.0, Anywhere ,"('sql', 'powerbi', 'azure')"
2447,Business Data Analyst 75446,156000.0, Anywhere ,"('sql', 'excel')"
2453,Clinical Data Analyst,88400.0, Anywhere ,"('tableau',)"
2455,6-month Contract - Senior Data Analyst - Onsite Phoenix,124800.0,  United States   ,"('sql', 'excel')"
2473,Business Intelligence Analyst,67600.0, Anywhere ,"('powerbi',)"
2476,Financial Data Analyst,75000.0, Anywhere ,"('excel',)"
2480,Business Data Analyst,112500.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
2482,Principal Decision Science Analyst - Consumer Lending,142500.0, Anywhere ,"('python', 'sql', 'tableau')"
2492,Senior Data Analyst,80000.0, Anywhere ,"('sql', 'powerbi', 'tableau')"
2504,Facility Operations Operational Analyst,138500.0, Anywhere ,"('excel', 'tableau')"
2539,Sr. Data Governance Analyst,125000.0, Anywhere ,"('sql', 'powerbi')"
2549,Data Analyst #000066A - Now Hiring,48391.2,"  Jefferson City, MO   ","('sql', 'azure')"
