,title,salary_standardized,location,habilidades
13546,"Staff Data Scientist - Algorithms, Guest Merchandising",215000.0,  United States   ,"('python', 'sql', 'r', 'machine_learning')"
13549,Associate Data Analyst,67640.0,  United States   ,"('python', 'sql', 'excel')"
13550,"Sr Specialist, Data Scientist",83175.0,  United States   ,"('python', 'sql', 'powerbi', 'tableau', 'machine_learning')"
13552,Data Analysis-Wake Forest Baptist Linen Services,72000.0,  United States   ,"('powerbi', 'excel')"
13553,"Analyst, Data Operations-Sg2",63525.0,  United States   ,"('sql', 'excel')"
13555,Portfolio Performance Data Analyst,100000.0,  United States   ,"('sql', 'excel', 'tableau')"
13557,Provider Data Analytics & Reporting Consultant,107800.0,  United States   ,"('sql',)"
13558,Sr. Data Scientist - Optimization,142366.0,  United States   ,"('python', 'sql', 'powerbi', 'tableau', 'machine_learning')"
13559,"Data Analyst, Global Partnerships",101000.0,  United States   ,"('python', 'sql')"
13561,Business & Data Analyst,72000.0,  United States   ,"('sql',)"
13562,Data Analytics Manager - Aftersales (SG32) Job,104750.0,  United States   ,"('python', 'sql', 'tableau', 'machine_learning')"
13563,Data Integration Analyst,54000.0,  United States   ,"('python',)"
13564,Senior Data Analyst - Global Internal Audit,86875.0,  United States   ,"('sql', 'tableau')"
13565,Lead Analytics Engineer,113000.0,  United States   ,"('python', 'sql', 'powerbi', 'tableau')"
13567,Data Analyst,87725.0,  United States   ,"('excel',)"
13568,Staff Data Scientist,107800.0,  United States   ,"('python', 'machine_learning')"
13573,Senior Business Intelligence & Data Analyst,130000.0, Anywhere ,"('sql', 'powerbi', 'tableau')"
13591,Senior Data Analyst,103000.0,  United States   ,"('python', 'sql', 'tableau')"
13610,Data Analyst,97500.0,"  Tulsa, OK   ","('sql', 'powerbi', 'excel')"
13667,Data Analyst,62607.0,"  Oklahoma City, OK   ","('python', 'powerbi', 'excel', 'tableau')"
13681,"Financial Data Analyst, Remote Job",52000.0, Anywhere ,"('python', 'excel')"
13690,Senior Data & Reporting Analyst,52000.0, Anywhere ,"('sql', 'powerbi', 'excel', 'tableau')"
13691,Data and Reporting Analyst (Entry-level),52000.0, Anywhere ,"('python', 'sql', 'excel')"
13692,Remote Senior Data Analyst Jobs | Work From Home Jobs,52000.0, Anywhere ,"('python', 'sql', 'excel', 'tableau', 'machine_learning')"
13863,Data Analyst,160000.0,  United States   ,"('python', 'sql', 'excel', 'tableau')"
13865,Business Data Analyst / Workflow Management / Project Manager,109200.0,  Missouri   ,"('excel', 'tableau')"
13867,Tableau Dashboard Developer/Data Analyst,114400.0,  United States   ,"('tableau',)"
13888,Senior Healthcare Fraud Data Analyst,119550.0,  United States   ,"('python', 'sql')"
13905,Data Analyst,130000.0,  United States   ,"('sql', 'aws')"
13911,Data Architect/Modeler,135200.0,  United States   ,"('sql',)"
13917,Reimbursement Data Analyst,80720.0,"  Topeka, KS   ","('sql',)"
13918,Business Intelligence Analyst,170186.0,  United States   ,"('sql',)"
13924,Sr. Data Analyst,124000.0,  United States   ,"('sql', 'excel', 'tableau')"
13925,Senior Data Analyst,97400.0,  Kansas   ,"('python', 'sql', 'powerbi', 'excel', 'tableau', 'r', 'machine_learning')"
13930,HMIS YHDP Data Analyst,60500.0,  Missouri   ,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
13939,Healthcare Data Analyst,82500.0,  United States   ,"('sql',)"
13940,Healthcare Data Analyst,86320.0,  United States   ,"('azure',)"
13944,Data Analyst - Payments & Fraud,124500.0, Anywhere ,"('python', 'sql', 'tableau', 'machine_learning')"
13946,Business Analyst (Apple Online Store),146640.0,  United States   ,"('excel',)"
13948,Sr. Business Data Analyst,80000.0,  United States   ,"('sql', 'powerbi', 'tableau')"
13952,Business Data Analyst,104000.0,  United States   ,"('powerbi', 'tableau')"
13953,Marketing Data Analyst,95750.0,  United States   ,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
13954,Category Analyst (CPG),65250.0,"  Rogers, AR   ","('powerbi', 'excel')"
13973,Data Analyst & AI Specialist for HR Analytics Project,60320.0, Anywhere ,"('excel',)"
13976,Looking for a Data analyst/Power bi expert - Contract to Hire,93600.0, Anywhere ,"('sql', 'powerbi')"
13977,Data Analyst/Designer with SUPER STRONG report WRITING skills to...,26000.0, Anywhere ,"('python', 'sql', 'excel')"
13979,Expert Data Analyst for Healthcare Quotation Analysis,118560.0, Anywhere ,"('machine_learning',)"
13985,Data Analyst and Full Stack Developer for Digital Humanities Project,119600.0, Anywhere ,"('aws',)"
13986,Data Analyst,150800.0, Anywhere ,"('python', 'sql')"
13991,Blockchain Data Analyst,114400.0, Anywhere ,"('excel',)"
13999,Data & Prompt Analyst – ReplayzIQ,41600.0, Anywhere ,"('python', 'excel', 'azure', 'aws')"
14000,Data Analyst job role - Translate objective data using...,69680.0, Anywhere ,"('sql', 'excel')"
14001,Data Analyst,81120.0, Anywhere ,"('python', 'sql', 'tableau')"
14002,BI Analyst to build queries and dashboards - Contract to Hire,166400.0, Anywhere ,"('sql',)"
14018,"Expert Data Analyst (Power BI, Power Automate, SQL, Blob, Excel)",52000.0, Anywhere ,"('sql', 'powerbi')"
14020,Data Analyst to extract valuable insights,70720.0, Anywhere ,"('sql', 'powerbi', 'excel', 'tableau')"
14021,Data analyst,70720.0, Anywhere ,"('excel',)"
14022,Data Analyst expertise in Redshift and R,104000.0, Anywhere ,"('python', 'r')"
14024,Marketing Data Analyst,114400.0, Anywhere ,"('powerbi',)"
14034,Expert Data Analyst for Narrator.ai Transformations - Contract to Hire,119600.0, Anywhere ,"('sql',)"
14042,Freelance Product Analyst with SQL Knowledge,70720.0, Anywhere ,"('sql',)"
14043,Direct to Consumer (DTC) Analyst  - Contract to Hire,72800.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel')"
14053,Data Analyst - Contract to Hire,59280.0, Anywhere ,"('python', 'machine_learning')"
14054,Senior Business Analyst (SQL) for AI Travel App - Contract to Hire,80080.0, Anywhere ,"('sql', 'powerbi', 'tableau')"
14055,Excel Data Analyst - Contract to Hire,144560.0, Anywhere ,"('excel',)"
14059,Junior Data Analyst for coding transcripts in ATLAS.ti - Contract...,30160.0, Anywhere ,"('excel',)"
14060,Data Visualization Analyst fluent in using statistics and...,72800.0, Anywhere ,"('powerbi', 'tableau')"
14068,Healthcare Data Analyst Needed for Remote Position,69680.0, Anywhere ,"('python', 'sql', 'tableau')"
14080,Middle Product Analyst  - Contract to Hire,33280.0, Anywhere ,"('python', 'sql', 'tableau', 'aws')"
14085,Data Analyst - Business Governance and Performance - Contract to Hire,78000.0, Anywhere ,"('sql',)"
14089,Tableau Specialist & Data Analyst,41600.0, Anywhere ,"('sql', 'tableau')"
14091,Python Data Scientist Analyst,37440.0, Anywhere ,"('python',)"
14095,Data Analyst needed to create valuable insights,70720.0, Anywhere ,"('sql', 'powerbi')"
14098,Data Analyst & Zoho Developer - Contract to Hire,41600.0, Anywhere ,"('python', 'sql', 'powerbi')"
14099,Data Analyst for Marketing Campaign Insights,70720.0, Anywhere ,"('sql', 'excel')"
14105,Data Analyst - Interpret Survey Results to extract findings,124800.0, Anywhere ,"('python', 'sql', 'machine_learning')"
14107,Researcher and Data Analyst Required - Contract to Hire,36400.0, Anywhere ,"('excel',)"
14108,Junior Data Visualization Analyst,72800.0, Anywhere ,"('powerbi', 'tableau')"
14109,Senior Data Analyst,105000.0,"  Dearing, KS   ","('sql', 'excel', 'tableau')"
14110,Client Performance Analytics-Senior Engineer (Data Design),102500.0,"  Dearing, KS   ","('python', 'sql', 'tableau')"
14115,Securities Data Consultant,127500.0,  United States   ,"('sql', 'excel')"
14116,Data Analyst II,145000.0, Anywhere ,"('python', 'sql', 'tableau')"
14126,Senior Data Analyst,141000.0, Anywhere ,"('python', 'sql', 'tableau')"
14135,Integrations Analyst NP,50000.0, Anywhere ,"('python', 'sql', 'excel')"
14136,Junior Data Analyst,80000.0, Anywhere ,"('python', 'sql', 'tableau')"
14137,Senior Data Analyst,122000.0, Anywhere ,"('python', 'sql', 'excel', 'tableau')"
14138,Data Analyst,95650.0,  United States   ,"('python', 'sql', 'powerbi', 'tableau')"
14140,Domo Data Analyst (REMOTE),82500.0,"  Oklahoma City, OK   ","('sql',)"
14141,Intelligence Analyst,51980.5,  United States   ,"('excel',)"
14143,"Senior Data Analyst, Financial Reporting",157000.0, Anywhere ,"('sql', 'tableau')"
14144,Data Analyst,124500.0,  United States   ,"('python', 'sql', 'tableau')"
14151,Data Analyst (remote),75000.0,"  Kansas City, MO   ","('python', 'sql', 'powerbi', 'excel', 'tableau')"
14152,BI Analyst,77500.0, Anywhere ,"('sql', 'powerbi', 'excel')"
14153,Data Analyst,85000.0, Anywhere ,"('python', 'sql', 'powerbi', 'tableau', 'aws')"
14154,Sr Data Analyst (remote),93500.0,"  Kansas City, MO   ","('python', 'sql', 'powerbi', 'excel', 'tableau', 'r')"
14155,Senior Data Analyst,105000.0, Anywhere ,"('python', 'sql', 'excel')"
14157,Analytics Senior Analyst,108250.0,  United States   ,"('excel',)"
14158,Data Analyst,80100.0,  United States   ,"('powerbi', 'tableau')"
14159,Data and Reporting Analyst II,75970.0,  United States   ,"('sql', 'excel')"
14171,Sr Applied Analytics Analyst - Remote,106800.0, Anywhere ,"('sql', 'excel')"
14175,Data Analyst,70000.0,  United States   ,"('excel',)"
14179,"Manager, Data Analytics",186000.0, Anywhere ,"('python', 'sql', 'machine_learning')"
14181,Analysis and Reporting Sr Analyst,135625.0,  United States   ,"('sql', 'tableau')"
14189,Senior Data Analyst,140000.0, Anywhere ,"('python', 'sql', 'tableau')"
14195,Financial Data Analyst (Special Investigations Unit),75550.0,"  Jefferson City, MO   ","('sql', 'excel')"
14240,Medical Data Scientist,200000.0, Anywhere ,"('python', 'sql')"
14271,Sr Power BI,67600.0,  United States   ,"('powerbi', 'excel')"
14272,Business Intelligence (BI) Analyst,125000.0, Anywhere ,"('sql', 'excel', 'tableau', 'machine_learning')"
14378,Data Analyst,62400.0,"  East Brunswick, NJ   ","('excel',)"
14432,Junior Data Scientist,109200.0, Anywhere ,"('python', 'sql', 'tableau', 'aws')"
14480,Business Data Analyst,98800.0, Anywhere ,"('python', 'sql')"
14481,Market Data Reporting Analyst II,49522.5,"  Kansas City, MO   ","('sql', 'excel')"
14530,Data Analyst,119600.0, Anywhere ,"('sql', 'tableau')"
14531,Business Analyst,150800.0, Anywhere ,"('sql', 'tableau')"
14532,"Data Analytics and Engineering – Digital, Technology and Innovation",96979.5, Anywhere ,"('python', 'sql', 'aws')"
14607,Data Analyst,140000.0, Anywhere ,"('python', 'sql', 'aws')"
14609,Pricing and Product Operations Analyst,56466.5, Anywhere ,"('sql', 'excel')"
14705,Data Analyst Mentor (US - Remote),74880.0, Anywhere ,"('python', 'sql', 'powerbi', 'tableau')"
14706,Data Engineer,135200.0, Anywhere ,"('python', 'sql', 'tableau', 'azure')"
14707,Remote Data Scientist,158080.0, Anywhere ,"('aws',)"
14708,Data Analyst,95000.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
14752,Data Analyst,109200.0, Anywhere ,"('sql', 'excel')"
14753,Data Analyst,77000.0, Anywhere ,"('excel', 'r')"
14782,WMS Business Analyst,119600.0, Anywhere ,"('sql', 'powerbi', 'excel', 'tableau')"
14783,Data Scientist,140625.0, Anywhere ,"('python', 'sql', 'powerbi', 'tableau', 'machine_learning')"
14804,Senior Data Engineer,140400.0,  United States   ,"('aws',)"
14819,Data Engineer,190000.0, Anywhere ,"('machine_learning', 'aws')"
14833,Data Scientist (Direct Hire),157049.0,  United States   ,"('python', 'machine_learning')"
14909,Data Analyst Intern,62962.5, Anywhere ,"('powerbi', 'excel')"
14960,Data Analytics/Visualization Engineer I,118706.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'r', 'machine_learning', 'aws')"
14973,Data Analyst,52634.4,"  Lenexa, KS   ","('python', 'sql', 'powerbi', 'excel', 'tableau')"
14975,"Compensation Analyst, Global - Now Hiring",68629.6,"  Wichita, KS   ","('excel',)"
14977,Data Analyst,52634.4,"  Peculiar, MO   ","('python', 'sql', 'powerbi', 'excel', 'tableau')"
14978,Strategy Analyst III - Firm Analytics - Now Hiring,56107.99999999999,"  St Elizabeth, MO   ","('python', 'sql', 'powerbi', 'tableau')"
14980,Data Analyst,47205.6,"  Chouteau, OK   ","('python', 'sql', 'powerbi', 'excel', 'tableau')"
14986,Data Scientist I,67600.0,"  Kansas City, MO   ","('python', 'sql', 'machine_learning')"
14994,Data & Reporting Analyst Lead - Bank,175475.0, Anywhere ,"('sql', 'tableau')"
15008,Data Analyst III (Healthcare Analytics),94200.0,  Missouri   ,"('sql', 'powerbi')"
15009,Data Quality Steward,107800.0,  United States   ,"('sql',)"
15010,"Data Scientist, Sports & Entertainment",144500.0,  United States   ,"('python', 'sql', 'excel', 'machine_learning')"
15013,Data Management Analyst,75000.0,  United States   ,"('excel',)"
15014,Sr. Business Intelligence Analyst,85650.0,  United States   ,"('sql', 'powerbi', 'excel', 'tableau')"
15015,Research Data Analyst,65400.0,  United States   ,"('r',)"
15016,"Revenue Operations Insight Analyst, Senior",47370.0,  United States   ,"('excel',)"
15017,GIS Development & Data Analyst - Associate / Intermediate / Senior...,103059.0,  United States   ,"('python', 'sql', 'excel')"
15018,Acquisition Data Analyst #24116,87725.0,  United States   ,"('powerbi', 'excel')"
15019,Lead Business Intelligence Specialist,140937.5,  United States   ,"('sql', 'excel', 'tableau')"
15021,Analyst Business Intelligence SGWS NY,146937.5,  United States   ,"('excel',)"
15023,Data Visualization Analyst,98345.0,  United States   ,"('python', 'sql', 'powerbi', 'tableau', 'r')"
15024,"Lead, Data Analyst",125000.0,  United States   ,"('python', 'sql', 'machine_learning')"
15025,Imaging Analyst (On-site),54000.0,  United States   ,"('excel',)"
15027,Senior Nonproliferation Data Scientist,157913.5,  United States   ,"('python', 'excel')"
15028,"Data Analyst- Supervising Associate -Secaucus, Hoboken...",115750.0,  United States   ,"('sql', 'excel')"
15030,Lead Data Architect - ONSITE,156598.0,  United States   ,"('sql', 'powerbi')"
15032,Business Intelligence Analyst,85500.0,  United States   ,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
15034,Data Modeler Architect,90150.0,  United States   ,"('sql', 'azure', 'aws')"
15035,Dir Data Science,134550.0,  United States   ,"('python', 'azure', 'machine_learning', 'aws')"
15036,Senior Data Engineer - Analytics,173880.0,  United States   ,"('python', 'sql')"
15037,Electrochemical Data Scientist,122500.0,  United States   ,"('python', 'azure', 'aws')"
15038,Continuous Improvement and Data Analytics Manager,160500.0,  United States   ,"('powerbi', 'tableau')"
15039,"Sr. Analyst, BI Data Analysis",107800.0,  United States   ,"('sql', 'powerbi', 'tableau')"
15040,Data Analyst - Life Sciences Sector - Senior - Consulting ...,138100.0,  United States   ,"('python', 'sql', 'powerbi', 'tableau', 'azure', 'machine_learning', 'aws')"
15041,MS BI / A&M Developer / ETL Engineer,72000.0,  United States   ,"('python', 'sql', 'powerbi', 'tableau', 'azure', 'aws')"
15044,Data Visualization Engineer - Power BI PPM Administrator,90000.0,  United States   ,"('sql', 'powerbi', 'excel')"
15045,Data Integrity Lead,107800.0,  United States   ,"('excel',)"
15046,"Health Data Scientist, Senior",152650.0,  United States   ,"('python', 'tableau', 'machine_learning', 'aws')"
15047,Data Scientist - Pricing and Promotions,105000.0,  United States   ,"('sql', 'machine_learning')"
15049,Associate Business Intelligence Analyst,130500.0,  United States   ,"('sql', 'excel')"
15051,Senior Data Analyst,123000.0,  United States   ,"('sql', 'powerbi', 'tableau', 'azure')"
15052,Ethics Program Data Management & Analysis - Assistant Director,156000.0,  United States   ,"('powerbi',)"
15053,Data Analyst - 1st Shift,86875.0,  United States   ,"('python', 'sql', 'excel', 'machine_learning')"
15054,Senior Data Scientist,157713.5,  United States   ,"('python', 'machine_learning')"
15056,Data Scientist,143500.0,  United States   ,"('python', 'excel', 'r')"
15057,Data Analyst,89594.5,  United States   ,"('python', 'sql', 'tableau')"
15058,Data Analytics Analyst - Oracle Park,90000.0,  United States   ,"('python', 'sql', 'powerbi', 'excel', 'machine_learning')"
15068,People Analytics - Data Science & Reporting Analyst,145000.0,  United States   ,"('python', 'powerbi', 'excel', 'tableau')"
15073,Data Analyst,105000.0, Anywhere ,"('powerbi', 'excel', 'tableau', 'azure', 'aws')"
15115,Data Analyst (REMOTE),82500.0, Anywhere ,"('sql',)"
15232,Data Analysis Specialist,100000.0,"  California, MO   ","('python', 'sql')"
15242,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'machine_learning')"
15243,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'tableau', 'azure', 'machine_learning', 'aws')"
15260,Lead Data Analyst,100000.0, Anywhere ,"('powerbi',)"
15261,Senior Reporting and Data Analyst,100000.0, Anywhere ,"('sql', 'powerbi', 'excel')"
15262,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'powerbi', 'machine_learning')"
15263,Lead Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'tableau', 'r')"
15264,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'excel', 'tableau', 'azure', 'r', 'machine_learning', 'aws')"
15265,Senior Data Analyst,100000.0, Anywhere ,"('python', 'azure')"
15300,Data Analyst,75000.0, Anywhere ,"('tableau', 'machine_learning')"
15303,Big Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'machine_learning', 'aws')"
15305,Data Analyst,100000.0, Anywhere ,"('azure', 'machine_learning', 'aws')"
15311,Data Analyst,65000.0,  United States   ,"('sql', 'excel')"
15312,CRM Data Analyst,75000.0,  United States   ,"('excel',)"
15314,Senior Data Analyst,100000.0,"  Elkins, AR   ","('python', 'sql', 'powerbi', 'tableau')"
15332,Data Analyst,75000.0,  United States   ,"('python',)"
15333,Data Analyst,75000.0, Anywhere ,"('machine_learning',)"
15343,Junior Data Analyst,50000.0,"  Oklahoma City, OK   ","('python', 'powerbi', 'tableau', 'machine_learning')"
15344,Data Analyst,60000.0,"  Salina, KS   ","('excel',)"
15367,Remote Data Analyst,75000.0,  United States   ,"('machine_learning',)"
15369,PH Data Analyst,75000.0, Anywhere ,"('python', 'sql', 'azure', 'aws')"
15370,Senior Data Analyst,100000.0, Anywhere ,"('sql', 'powerbi', 'tableau')"
15388,Data Analyst,65000.0, Anywhere ,"('sql', 'azure')"
15391,Data Analyst,75000.0,"  Kansas City, MO   ","('python', 'aws')"
15394,Data Analyst,100000.0,"  Lowell, AR   ","('python', 'sql', 'machine_learning')"
15396,Data Analyst,100000.0, Anywhere ,"('tableau',)"
15398,Lead Data Analyst,105000.0, Anywhere ,"('sql', 'powerbi', 'tableau', 'azure')"
15400,Principal Data Analyst,150000.0,  United States   ,"('python', 'sql', 'powerbi', 'azure', 'machine_learning')"
15411,Data Analyst Trainee,60000.0,  United States   ,"('powerbi', 'tableau')"
15413,Data Analyst,75000.0,  United States   ,"('sql',)"
15415,Data Analyst,120000.0,  United States   ,"('machine_learning',)"
15416,Senior Data Analyst,125000.0,  United States   ,"('python', 'sql', 'azure')"
15417,Lead Data Analyst,125000.0,  United States   ,"('python', 'sql')"
15426,Data Analyst,65000.0,"  Rogers, AR   ","('powerbi',)"
15427,Data Scientist,75000.0,  United States   ,"('aws',)"
15428,Data Scientist,75000.0,"  Edmond, OK   ","('sql', 'powerbi', 'excel')"
15451,Data Analyst,65000.0,  United States   ,"('powerbi', 'excel')"
15452,Data Analysis Specialist,75000.0,  United States   ,"('excel', 'tableau')"
15453,Data Analyst,80000.0, Anywhere ,"('python', 'sql')"
15454,BI Analyst,80000.0, Anywhere ,"('sql', 'powerbi', 'azure')"
15455,Data Analyst,80000.0, Anywhere ,"('python', 'sql', 'tableau', 'aws')"
15456,Data Analyst,100000.0,  United States   ,"('machine_learning', 'aws')"
15458,Senior Data Analyst,100000.0, Anywhere ,"('sql', 'tableau')"
15459,Data Analyst,100000.0, Anywhere ,"('sql', 'machine_learning')"
15462,Lead Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'aws')"
15464,Lead Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'tableau')"
15487,Spatial Data Analyst,70000.0,  United States   ,"('python',)"
15488,Data Analyst,80000.0,  United States   ,"('python',)"
15489,Data Analyst,80000.0, Anywhere ,"('python', 'sql', 'tableau', 'machine_learning')"
15491,Data Analyst,80000.0, Anywhere ,"('python', 'sql', 'tableau')"
15495,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'tableau', 'machine_learning')"
15496,Data Analyst,100000.0, Anywhere ,"('python', 'powerbi', 'azure', 'machine_learning')"
15497,Lead Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'powerbi', 'machine_learning')"
15500,Data Analyst,100000.0, Anywhere ,"('python', 'machine_learning')"
15501,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'machine_learning', 'aws')"
15511,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'tableau', 'machine_learning', 'aws')"
15513,Lead Data Analyst,100000.0, Anywhere ,"('sql',)"
15514,Lead Data Analyst,150000.0, Anywhere ,"('python', 'tableau', 'machine_learning', 'aws')"
15527,Data Analyst,60000.0,"  Kansas City, MO   ","('excel',)"
15528,Data Scientist,80000.0, Anywhere ,"('excel',)"
15529,Data Analyst,80000.0, Anywhere ,"('python', 'sql', 'powerbi', 'tableau', 'r')"
15532,Data Analyst,100000.0, Anywhere ,"('sql', 'tableau', 'machine_learning')"
15534,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'azure', 'machine_learning')"
15535,Lead Analyst,100000.0, Anywhere ,"('python', 'sql', 'tableau')"
15537,Lead Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'machine_learning')"
15538,Data Analyst,100000.0, Anywhere ,"('python', 'sql', 'excel', 'aws')"
15552,Data Analyst,65000.0, Anywhere ,"('machine_learning',)"
15553,Data Analyst,65000.0, Anywhere ,"('python',)"
15554,Data Analyst,75000.0, Anywhere ,"('sql',)"
15555,Medical Data Analyst,75000.0, Anywhere ,"('machine_learning',)"
15557,"Data Analyst, Games",95000.0, Anywhere ,"('python', 'sql', 'tableau')"
15564,Senior Data Analyst,100000.0, Anywhere ,"('sql', 'excel', 'azure')"
15567,Data Warehouse Analyst,100000.0, Anywhere ,"('sql',)"
15568,"Senior Manager, Data Sciences",150000.0, Anywhere ,"('python', 'sql', 'excel', 'tableau')"
15577,OT Data Analyst,69737.0,"  Silver Lake, KS   ","('python', 'sql', 'powerbi', 'tableau', 'azure', 'aws')"
15587,Business Intelligence Analyst,77500.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
15594,Data Analyst,29640.0, Anywhere ,"('excel',)"
15595,Tableau Data Analyst #5-7-362,66827.5,"  Jefferson City, MO   ","('python', 'sql', 'excel', 'tableau', 'r', 'machine_learning')"
15596,Data Analyst (Loans),60000.0,  United States   ,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
15597,"Entry Level - Mechanical Engineering, Graphic Design, Content...",87500.0,"  Oklahoma City, OK   ","('excel',)"
15599,IT BUSINESS INTELLIGENCE ANALYST,77825.0,  United States   ,"('sql', 'powerbi', 'excel', 'tableau', 'azure')"
15601,Data Analyst,39520.0,"  Jenks, OK   ","('excel',)"
15602,Data Analyst - HUBZone,39520.0, Anywhere ,"('excel',)"
15610,Data Analyst,65000.0, Anywhere ,"('sql',)"
15611,Data Analyst Senior or Lead - Reinsurance,103550.0, Anywhere ,"('sql',)"
15613,"Data Analyst -SQL, Python, GitHub Workflows/Actions (CICD...",108160.0, Anywhere ,"('python', 'sql', 'azure', 'aws')"
15619,Data Analyst,69000.0,"  Minneapolis, KS   ","('sql', 'powerbi', 'excel')"
15621,Data Analyst IV,142500.0,"  Oklahoma City, OK   ","('python', 'sql', 'aws')"
15623,Data Analyst II,106479.0,  United States   ,"('python', 'sql', 'tableau')"
15624,Data Engineer,102500.0, Anywhere ,"('python', 'sql', 'powerbi', 'tableau')"
15625,Data Operations Analyst,39197.6,  Kansas   ,"('sql',)"
15629,"Engineer| Analyst to Develop Power Platform (App, Power BI...",41600.0, Anywhere ,"('sql', 'powerbi', 'aws')"
15630,Data Analyst for Verifying Variables,70720.0, Anywhere ,"('powerbi', 'excel')"
15651,Construction data analyst / cost estimator,34320.0, Anywhere ,"('excel',)"
15657,Geospatial Data Analyst - Contract to Hire,39520.0, Anywhere ,"('python', 'sql')"
15659,Sr. Data Analyst,46800.0, Anywhere ,"('tableau', 'aws')"
15660,Data analyst DevOps/BI expert to help automate a series of...,70720.0, Anywhere ,"('powerbi',)"
15661,Visual Data Analyst Wizard Wanted - Crafting Engaging Reports...,62400.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel')"
15665,Data Analyst Power BI - Contract to Hire,47840.0, Anywhere ,"('python', 'sql', 'powerbi')"
15672,NFT Data Analyst - Contract to Hire,119600.0, Anywhere ,"('machine_learning',)"
15682,Data Analyst / Marketing Campaign Planner - Contract to Hire,27040.0, Anywhere ,"('excel',)"
15684,Tidy up a data model,70720.0, Anywhere ,"('powerbi', 'excel')"
15687,Junior Data Visualization Analyst,71760.0, Anywhere ,"('powerbi', 'tableau')"
15689,Join Our Growing Team: Freelance Data Analysts Wanted,119600.0, Anywhere ,"('python', 'sql', 'excel')"
15693,Digital Marketing Analyst to obtain insights from Google Ads Data...,31200.0, Anywhere ,"('excel',)"
15694,Opening for responsible and organized Data Analyst,70720.0, Anywhere ,"('python', 'sql', 'excel')"
15695,BSA Data Analytics - Contract to Hire,62400.0, Anywhere ,"('sql', 'tableau')"
15706,"Senior Data Analyst - SQL, Metabase, Hubspot - Contract to Hire",36400.0, Anywhere ,"('sql',)"
15707,Data Analyst - Software Development,46800.0, Anywhere ,"('python', 'powerbi', 'tableau')"
15710,Data Data analyst/BI expert to help build performance marketing...,69680.0, Anywhere ,"('powerbi',)"
15715,HVAC Energy Analyst for Sales Proposals,34320.0, Anywhere ,"('excel',)"
15718,Data Analyst - Contract to Hire,69680.0, Anywhere ,"('excel',)"
15719,Data Analyst - German speaker - Contract to Hire,55120.0, Anywhere ,"('python', 'aws')"
15720,Data Analyst & Tableau Expert,70720.0, Anywhere ,"('tableau',)"
15729,MIS Data Analysts  - Contract to Hire,48880.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
15731,Experienced (Marketing) Data Analyst with Amazon Redshift...,98800.0, Anywhere ,"('sql', 'tableau')"
15742,Data Analyst to build dashboards in Looker Studio,57200.0, Anywhere ,"('sql',)"
15743,Data analyst/SQL and Power BI Expert required,78000.0, Anywhere ,"('powerbi',)"
15752,Rental CFO(or CMO) / ZOHO accounting/sales data analyst  ...,62400.0, Anywhere ,"('excel',)"
15761,Data Operations Analyst,49920.0, Anywhere ,"('sql', 'tableau')"
15766,Straight Data Analyst position,69680.0, Anywhere ,"('excel',)"
15768,"Senior Data Analyst - SQL, LookerStudio",104000.0, Anywhere ,"('sql',)"
15769,Data Analyst for eCom analysis - Contract to Hire,26000.0, Anywhere ,"('powerbi', 'tableau')"
15776,Healthcare Billing Data Analyst - Contract to Hire,65520.0, Anywhere ,"('sql', 'powerbi')"
15778,NFT Impact Measurement Analyst,135200.0, Anywhere ,"('python', 'sql', 'excel')"
15783,Data Analyst required to analyse freight recoverability for...,36400.0, Anywhere ,"('excel',)"
15785,Data Analyst,69680.0, Anywhere ,"('python',)"
15792,Sr. Business Data Analyst,100900.0,"  Oklahoma City, OK   ","('python', 'excel', 'tableau')"
15794,Power BI Data Analyst,108415.5,"  Dearing, KS   ","('sql', 'powerbi', 'azure')"
15795,"Sr Info Sec Analyst, Data Class Prog",106065.0,"  Dearing, KS   ","('azure',)"
